Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Capital_Cost_USD_per_kW,Estimated_Project_Cost_Million_USD,Lifecycle_Emissions_kgCO2e_per_MWh,Estimated_CO2_Avoided_tons_per_year,Estimated_Jobs,Grid_Connected,Storage_Included,Project_Status
RE-00475,Chile,2013,Hydroelectric,1218.01,61.99,6614188.94,4714.12,5741.85,10.94,2681194.66,1191,Yes,No,Operational
RE-00476,Australia,2013,Onshore Wind,155.55,25.16,342834.69,2211.43,343.99,16.15,146623.52,395,Yes,Yes,Operational
RE-00477,Sweden,2016,Biogas,923.23,57.64,4661632.0,3191.03,2946.05,74.85,1553806.19,515,Yes,No,Construction
RE-00478,France,2023,Offshore Wind,353.18,47.23,1461228.57,3556.15,1255.96,20.35,509213.65,511,Yes,No,Operational
RE-00479,China,2017,Biogas,1379.29,79.4,9593568.84,3709.87,5116.99,65.92,5444388.29,3576,Yes,No,Operational
RE-00480,United States,2011,Offshore Wind,1277.61,36.07,4036905.2,4741.74,6058.09,18.45,1409225.53,4630,Yes,No,Construction
RE-00481,Japan,2014,Solar CSP,226.97,26.96,536034.14,3693.85,838.39,22.37,401728.52,278,Yes,No,Operational
RE-00482,France,2025,Biomass,838.29,58.97,4330415.01,4005.41,3357.7,58.35,2271887.07,1994,Yes,Yes,Operational
RE-00483,Germany,2012,Geothermal,453.77,73.62,2926413.55,5703.3,2587.99,35.52,1644022.77,765,Yes,Yes,Operational
RE-00484,Spain,2013,Onshore Wind,759.09,47.64,3167882.97,1390.32,1055.38,13.34,1028788.59,1260,Yes,Yes,Operational
RE-00485,Japan,2017,Offshore Wind,78.32,56.46,387362.57,4330.33,339.15,21.33,177472.77,295,Yes,No,Operational
RE-00486,Germany,2017,Onshore Wind,1492.24,37.78,4938610.06,1996.19,2978.79,15.37,3279049.78,5226,Yes,Yes,Operational
RE-00487,United Kingdom,2020,Biogas,1238.38,65.77,7134866.93,1995.29,2470.93,43.73,3603068.31,4225,Yes,No,Planned
RE-00488,Mexico,2011,Solar CSP,1389.66,33.23,4045228.0,4800.1,6670.51,16.61,2035049.35,3670,Yes,No,Operational
RE-00489,Australia,2019,Biomass,63.75,69.5,388122.75,2377.31,151.55,112.92,286547.14,94,Yes,No,Planned
RE-00490,Italy,2026,Solar CSP,84.03,20.88,153698.26,3182.17,267.4,40.28,86184.81,203,Yes,No,Operational
RE-00491,South Africa,2024,Onshore Wind,1343.96,36.12,4252439.96,2262.58,3040.82,10.6,2463084.3,963,Yes,Yes,Operational
RE-00492,United Kingdom,2017,Offshore Wind,884.71,45.47,3523952.1,3916.55,3465.01,24.85,2536408.64,754,Yes,No,Construction
RE-00493,Australia,2016,Hydroelectric,1119.68,34.35,3369184.3,2861.8,3204.3,26.21,1896316.39,3822,Yes,Yes,Operational
RE-00494,United States,2020,Solar PV,756.81,22.45,1488357.68,1292.1,977.87,35.4,374476.52,2138,Yes,No,Operational
RE-00495,Mexico,2019,Geothermal,1342.48,84.31,9914961.22,4511.98,6057.24,42.26,3085579.79,3798,No,No,Operational
RE-00496,China,2022,Biogas,814.77,59.01,4211771.01,2013.18,1640.28,36.06,2019917.02,824,Yes,Yes,Planned
RE-00497,Poland,2011,Solar CSP,110.7,29.93,290240.79,3235.3,358.15,43.88,204762.82,205,Yes,Yes,Operational
RE-00498,Mexico,2011,Offshore Wind,154.45,47.9,648078.38,3165.43,488.9,9.75,317724.87,307,Yes,Yes,Operational
RE-00499,India,2014,Solar PV,1200.57,28.65,3013118.55,1065.35,1279.03,36.2,1826674.92,3189,Yes,No,Operational
RE-00500,Mexico,2014,Solar CSP,440.62,26.73,1031732.88,3283.89,1446.95,28.82,594826.81,984,Yes,Yes,Planned
RE-00501,Germany,2018,Solar PV,94.15,18.13,149527.9,1423.63,134.03,50.07,102861.49,241,Yes,Yes,Construction
RE-00502,Poland,2015,Offshore Wind,233.14,55.37,1130825.05,4163.33,970.64,8.85,468094.24,823,Yes,No,Planned
RE-00503,India,2024,Geothermal,1238.02,91.49,9922141.0,3651.13,4520.17,45.26,5344754.75,3702,Yes,No,Operational
RE-00504,South Africa,2026,Solar CSP,568.19,24.39,1213974.3,2836.86,1611.88,38.55,640265.46,855,Yes,Yes,Operational
RE-00505,Japan,2024,Hydroelectric,1002.58,56.68,4977978.13,3667.18,3676.64,34.73,1845361.55,1347,Yes,No,Construction
RE-00506,United Kingdom,2018,Solar PV,19.37,24.12,40927.11,1598.83,30.97,31.78,13995.73,27,Yes,Yes,Operational
RE-00507,Spain,2020,Onshore Wind,518.2,34.11,1548400.26,1152.04,596.99,18.93,702111.23,819,Yes,No,Operational
RE-00508,Mexico,2015,Solar PV,220.44,23.64,456501.26,1529.11,337.08,37.51,192599.35,695,Yes,Yes,Operational
RE-00509,Sweden,2016,Offshore Wind,1163.63,50.99,5197614.05,5263.66,6124.95,22.1,2019611.72,1888,Yes,No,Operational
RE-00510,Canada,2016,Solar PV,1085.39,25.98,2470182.66,1299.56,1410.53,28.15,1745450.9,3377,Yes,No,Planned
RE-00511,Japan,2025,Onshore Wind,893.86,34.58,2707687.86,1572.85,1405.91,17.65,1549616.99,606,Yes,No,Planned
RE-00512,France,2014,Solar CSP,1176.31,38.22,3938370.57,3447.09,4054.85,19.36,2947922.28,598,Yes,No,Construction
RE-00513,South Africa,2014,Onshore Wind,1082.65,29.98,2843307.4,2177.75,2357.74,9.85,1701301.55,3486,Yes,No,Operational
RE-00514,Brazil,2013,Solar CSP,683.84,40.46,2423731.38,4185.63,2862.3,26.63,1791586.15,1415,Yes,No,Operational
RE-00515,Mexico,2015,Onshore Wind,1032.07,25.94,2345218.07,1986.36,2050.06,9.62,1036830.29,957,Yes,No,Operational
RE-00516,Chile,2022,Hydroelectric,1227.35,39.37,4232899.41,4279.05,5251.89,14.27,1457667.81,3704,Yes,Yes,Planned
RE-00517,Mexico,2012,Offshore Wind,530.76,43.85,2038787.16,4610.89,2447.28,21.35,515905.18,1994,No,No,Planned
RE-00518,Norway,2012,Geothermal,536.61,81.07,3810860.41,4700.52,2522.35,32.08,2346866.52,392,Yes,Yes,Planned
RE-00519,Chile,2012,Biomass,194.62,81.79,1394414.15,4010.49,780.52,97.79,1018292.17,267,Yes,No,Operational
RE-00520,United States,2011,Biomass,862.12,79.67,6016814.8,2271.29,1958.12,114.19,3099861.6,898,Yes,Yes,Operational
RE-00521,Spain,2021,Geothermal,166.93,72.66,1062512.12,5011.79,836.62,17.21,695822.81,545,Yes,Yes,Construction
RE-00522,Canada,2020,Solar CSP,1416.78,24.57,3049380.93,4548.68,6444.48,18.85,1081914.94,2866,Yes,No,Operational
RE-00523,Norway,2010,Solar PV,526.2,19.86,915449.08,1495.45,786.91,56.5,631900.16,481,Yes,Yes,Construction
RE-00524,Chile,2025,Offshore Wind,485.81,54.79,2331695.62,3726.88,1810.56,24.39,939975.94,235,Yes,Yes,Operational
RE-00525,Brazil,2011,Hydroelectric,939.45,60.62,4988772.61,2960.06,2780.83,9.22,2245010.02,3033,Yes,No,Operational
RE-00526,United Kingdom,2022,Hydroelectric,166.13,64.34,936339.25,2363.34,392.62,9.98,302242.21,407,Yes,Yes,Operational
RE-00527,India,2021,Offshore Wind,423.27,56.05,2078247.23,3933.48,1664.92,11.37,1511475.8,1404,Yes,No,Operational
RE-00528,Japan,2017,Onshore Wind,1128.5,31.85,3148582.71,1888.68,2131.38,11.8,788801.79,4358,Yes,No,Operational
RE-00529,South Africa,2019,Solar PV,435.78,29.55,1128051.39,1259.5,548.86,46.84,538527.65,625,Yes,Yes,Construction
RE-00530,South Korea,2014,Solar PV,454.83,19.33,770167.28,1303.33,592.79,25.97,550452.97,777,Yes,Yes,Planned
RE-00531,Sweden,2014,Biomass,993.74,60.15,5236155.18,2324.07,2309.52,109.74,1696601.25,464,Yes,Yes,Operational
RE-00532,South Africa,2011,Hydroelectric,1015.43,59.77,5316641.2,4206.84,4271.75,25.65,2351454.88,1591,Yes,No,Planned
RE-00533,Poland,2019,Solar CSP,442.64,30.77,1193114.87,4341.14,1921.56,27.8,770235.06,1108,Yes,No,Planned
RE-00534,France,2010,Solar PV,862.13,21.6,1631287.9,1178.49,1016.01,22.69,1139685.97,3170,Yes,No,Operational
RE-00535,France,2020,Offshore Wind,644.3,51.31,2895971.29,2974.36,1916.38,20.09,1139410.96,1769,Yes,No,Planned
RE-00536,Norway,2026,Geothermal,104.04,81.07,738864.2,3384.73,352.15,40.67,411755.7,45,Yes,No,Construction
RE-00537,France,2011,Solar PV,456.18,20.74,828798.77,861.79,393.13,36.83,236675.73,368,Yes,No,Operational
RE-00538,Poland,2013,Geothermal,587.78,89.92,4629938.36,5179.02,3044.12,30.02,2599048.34,716,Yes,Yes,Operational
RE-00539,India,2013,Onshore Wind,1325.19,35.23,4089732.47,1868.01,2475.47,11.68,1612869.91,1498,Yes,Yes,Construction
RE-00540,France,2022,Biogas,24.08,68.49,144473.35,1912.11,46.04,38.65,86398.02,31,Yes,No,Planned
RE-00541,South Africa,2020,Biogas,1303.41,62.66,7154438.34,2917.94,3803.27,58.53,5021667.03,1295,Yes,No,Planned
RE-00542,Germany,2018,Hydroelectric,260.79,50.44,1152312.09,3145.82,820.4,4.47,328315.95,287,Yes,No,Operational
RE-00543,Sweden,2011,Solar PV,802.09,27.69,1945584.8,1374.53,1102.5,31.64,606916.04,2921,Yes,No,Operational
RE-00544,Canada,2024,Biomass,1138.14,72.7,7248267.35,2919.28,3322.55,111.83,4853815.18,691,Yes,No,Operational
RE-00545,South Africa,2026,Onshore Wind,1029.39,27.4,2470783.05,1357.79,1397.7,17.74,1849080.51,776,Yes,Yes,Operational
RE-00546,South Korea,2021,Solar PV,1200.87,28.11,2957065.52,1285.46,1543.67,32.9,2079280.12,1771,Yes,No,Construction
RE-00547,Chile,2025,Biomass,234.7,86.43,1776976.6,3454.4,810.75,91.78,1256376.28,415,Yes,No,Planned
RE-00548,Sweden,2016,Geothermal,102.39,74.58,668935.17,5825.12,596.43,53.75,490802.19,54,Yes,No,Construction
RE-00549,Chile,2011,Solar CSP,914.62,23.14,1853993.28,3979.63,3639.85,22.19,512778.55,629,Yes,No,Operational
RE-00550,France,2021,Biogas,538.25,71.57,3374575.6,2443.74,1315.34,73.51,2195696.85,1912,Yes,No,Operational
RE-00551,Brazil,2010,Onshore Wind,1062.03,37.63,3500862.95,2041.11,2167.72,8.14,2617816.1,4226,Yes,Yes,Construction
RE-00552,South Korea,2023,Offshore Wind,1222.18,53.67,5746069.49,4513.2,5515.94,21.94,3420936.3,1071,Yes,No,Construction
RE-00553,India,2018,Geothermal,1360.99,86.49,10311573.4,3705.36,5042.96,31.56,5698404.18,4269,Yes,No,Construction
RE-00554,Japan,2023,Hydroelectric,94.77,56.42,468390.49,3444.03,326.39,6.32,276118.54,282,Yes,No,Operational
RE-00555,Spain,2013,Offshore Wind,526.75,44.43,2050146.82,5374.95,2831.25,22.37,1251530.77,540,Yes,No,Operational
RE-00556,Italy,2015,Onshore Wind,1187.95,40.43,4207324.5,1487.89,1767.54,11.33,2426288.91,2825,Yes,No,Operational
RE-00557,Mexico,2018,Biogas,298.46,63.19,1652108.62,2398.78,715.94,42.6,881735.8,616,No,Yes,Operational
RE-00558,China,2026,Biogas,1492.3,80.23,10488105.26,1656.87,2472.55,41.33,2849315.5,5006,Yes,No,Operational
RE-00559,Germany,2014,Biogas,902.86,51.07,4039153.67,3150.43,2844.4,72.74,2369016.67,1440,Yes,Yes,Operational
RE-00560,Norway,2020,Biomass,434.83,58.94,2245089.91,2218.42,964.64,49.08,1097614.25,1124,Yes,No,Operational
RE-00561,Spain,2015,Solar CSP,336.02,37.27,1097055.57,5379.44,1807.6,29.77,297318.87,449,Yes,Yes,Planned
RE-00562,Poland,2024,Solar CSP,777.09,38.64,2630343.97,2582.64,2006.94,38.31,810940.37,2662,Yes,Yes,Planned
RE-00563,Poland,2010,Hydroelectric,208.42,57.92,1057479.73,3287.59,685.2,31.32,600346.72,551,Yes,No,Operational
RE-00564,Italy,2019,Onshore Wind,409.58,31.08,1115125.78,1872.96,767.13,17.37,712107.88,1444,Yes,No,Operational
RE-00565,Chile,2022,Solar CSP,454.21,32.35,1287167.55,3007.9,1366.22,39.58,847775.03,1616,No,Yes,Operational
RE-00566,Chile,2020,Solar PV,402.03,22.84,804375.19,915.83,368.19,35.75,464770.63,1370,Yes,No,Operational
RE-00567,Australia,2023,Offshore Wind,56.88,41.08,204688.82,3011.12,171.27,19.35,88872.93,156,Yes,No,Operational
RE-00568,France,2018,Onshore Wind,961.96,37.56,3165094.66,1197.87,1152.3,15.68,1280063.59,434,Yes,No,Operational
RE-00569,Germany,2021,Biogas,361.74,77.05,2441593.07,2287.55,827.5,65.36,1586078.86,646,Yes,No,Planned
RE-00570,Chile,2021,Solar PV,1133.79,19.52,1938726.48,844.25,957.2,46.64,970205.35,2654,Yes,Yes,Construction
RE-00571,Sweden,2016,Geothermal,65.04,79.45,452666.69,5810.13,377.89,34.33,137662.83,187,Yes,No,Operational
RE-00572,Poland,2023,Biogas,1224.08,80.14,8593364.76,3565.23,4364.13,54.61,2659036.22,2997,Yes,Yes,Operational
RE-00573,Brazil,2021,Hydroelectric,1281.37,57.4,6443035.89,4543.17,5821.48,27.56,3876257.31,559,Yes,Yes,Operational
RE-00574,Japan,2017,Geothermal,1116.03,93.72,9162463.45,5920.11,6607.02,50.73,2899580.9,3975,Yes,No,Operational
RE-00575,Australia,2011,Geothermal,1385.79,74.35,9025733.42,3600.76,4989.9,33.24,2818025.9,657,Yes,No,Operational
RE-00576,Chile,2022,Biogas,639.37,65.87,3689300.45,1613.44,1031.59,75.65,2760827.19,1472,Yes,No,Operational
RE-00577,Germany,2014,Onshore Wind,753.7,34.93,2306222.51,1808.55,1363.1,18.04,836285.06,376,Yes,No,Planned
RE-00578,South Korea,2011,Solar PV,953.03,20.45,1707277.0,839.06,799.65,36.06,710581.61,3366,Yes,Yes,Operational
RE-00579,India,2012,Hydroelectric,1377.96,31.76,3833727.24,1841.11,2536.98,9.67,2512766.72,3147,Yes,Yes,Planned
RE-00580,Brazil,2011,Geothermal,50.56,84.32,373458.0,2516.5,127.23,18.83,242818.1,109,Yes,Yes,Construction
RE-00581,Canada,2011,Geothermal,175.6,85.41,1313824.45,4506.49,791.34,53.9,574502.25,111,Yes,Yes,Operational
RE-00582,Brazil,2022,Hydroelectric,1267.25,59.23,6575187.45,3174.81,4023.28,33.97,4864895.3,1096,Yes,No,Operational
RE-00583,Italy,2016,Hydroelectric,392.5,63.32,2177131.56,3117.07,1223.45,27.64,965237.12,343,Yes,Yes,Operational
RE-00584,Sweden,2012,Biomass,513.21,57.19,2571102.04,2658.17,1364.2,55.82,649742.94,1193,Yes,Yes,Construction
RE-00585,Brazil,2022,Onshore Wind,395.92,32.57,1129612.02,1420.98,562.59,19.44,390009.69,419,Yes,Yes,Operational
RE-00586,Norway,2017,Offshore Wind,918.51,49.95,4019050.73,5661.21,5199.88,13.55,2850358.47,2791,Yes,No,Operational
RE-00587,Brazil,2014,Biogas,634.35,53.4,2967387.8,2683.07,1702.01,27.8,747701.55,2380,Yes,Yes,Operational
RE-00588,South Korea,2014,Geothermal,978.92,85.06,7294183.52,3948.78,3865.54,28.83,4371211.3,3848,Yes,No,Operational
RE-00589,South Africa,2017,Biomass,1485.95,78.32,10194853.31,2769.8,4115.78,66.58,4744669.05,790,Yes,No,Operational
RE-00590,India,2011,Hydroelectric,1079.47,39.19,3705868.01,3793.2,4094.65,22.94,2482538.05,960,Yes,No,Operational
RE-00591,United Kingdom,2017,Solar PV,1182.54,16.38,1696812.46,1113.95,1317.29,59.59,853428.81,2594,Yes,Yes,Construction
RE-00592,Germany,2016,Hydroelectric,435.57,31.1,1186649.49,4507.36,1963.27,5.0,741645.92,773,Yes,Yes,Operational
RE-00593,United States,2019,Geothermal,1043.73,74.89,6847248.72,3858.16,4026.88,32.79,2451243.66,2540,Yes,Yes,Operational
RE-00594,United Kingdom,2012,Solar CSP,678.92,29.54,1756844.0,5223.8,3546.54,29.7,1158198.44,823,Yes,Yes,Operational
RE-00595,Mexico,2021,Biomass,1257.41,73.68,8115786.87,3528.2,4436.39,50.07,2179924.86,4086,Yes,No,Planned
RE-00596,Norway,2016,Solar CSP,568.58,38.33,1909125.61,3114.16,1770.65,27.88,818076.84,2095,Yes,No,Operational
RE-00597,Germany,2018,Biogas,368.75,80.97,2615533.42,1932.17,712.49,28.53,1575112.19,749,Yes,No,Operational
RE-00598,United States,2012,Biomass,692.51,62.3,3779359.47,3403.04,2356.64,37.19,1011714.77,2089,Yes,No,Construction
RE-00599,China,2011,Offshore Wind,1154.86,41.17,4164993.35,4241.32,4898.13,9.47,2787692.49,2793,No,Yes,Planned
RE-00600,India,2018,Hydroelectric,1392.86,61.77,7536837.89,4971.3,6924.32,8.08,4883932.72,4591,Yes,Yes,Planned
RE-00601,France,2013,Biomass,749.86,72.21,4743311.42,2236.94,1677.39,96.41,1396590.17,2170,Yes,No,Operational
RE-00602,Japan,2015,Biomass,1428.1,60.04,7511097.66,3668.02,5238.3,78.0,3873846.11,4203,Yes,No,Operational
RE-00603,Argentina,2016,Solar CSP,1298.0,22.42,2549261.62,4292.73,5571.96,20.53,1716340.86,3224,Yes,No,Planned
RE-00604,Italy,2014,Offshore Wind,704.76,52.16,3220200.67,4202.47,2961.73,15.27,1347569.82,664,Yes,No,Planned
RE-00605,India,2024,Solar PV,678.22,18.55,1102093.94,1274.13,864.14,58.19,676162.54,1479,Yes,No,Construction
RE-00606,France,2016,Geothermal,411.14,82.5,2971308.78,3447.08,1417.23,52.71,1497488.88,863,Yes,No,Operational
RE-00607,Spain,2012,Offshore Wind,1303.94,43.26,4941379.73,4400.54,5738.04,11.5,2602620.28,3817,Yes,No,Construction
RE-00608,Argentina,2024,Biogas,307.51,60.36,1625970.2,3701.74,1138.32,43.94,782759.24,904,Yes,No,Construction
RE-00609,Italy,2012,Hydroelectric,1316.23,39.65,4571714.31,2210.81,2909.93,34.26,1603848.64,1174,Yes,Yes,Operational
RE-00610,China,2011,Geothermal,1190.0,73.89,7702589.16,4316.09,5136.15,47.55,2546040.82,1365,Yes,No,Operational
RE-00611,Italy,2022,Solar PV,1443.36,17.34,2192440.75,1284.19,1853.55,28.47,567849.67,4518,No,No,Operational
RE-00612,France,2011,Offshore Wind,305.13,55.19,1475194.92,5356.34,1634.38,13.8,758117.66,857,Yes,Yes,Operational
RE-00613,Poland,2011,Onshore Wind,593.1,35.73,1856372.16,1277.4,757.63,12.34,874001.16,470,Yes,No,Operational
RE-00614,United Kingdom,2024,Biogas,1281.64,70.13,7873611.8,2787.75,3572.89,84.21,5267366.37,4262,Yes,Yes,Construction
RE-00615,Argentina,2017,Hydroelectric,1025.89,56.62,5088324.12,2745.0,2816.07,12.82,2520836.08,1420,Yes,No,Construction
RE-00616,Italy,2023,Geothermal,1069.59,75.62,7085297.87,5007.6,5356.08,43.6,2715814.89,2568,Yes,Yes,Construction
RE-00617,United States,2026,Hydroelectric,1299.5,44.05,5014484.61,3743.06,4864.11,34.74,2678831.48,1057,Yes,No,Operational
RE-00618,United Kingdom,2017,Solar PV,1136.3,21.44,2134135.03,1481.65,1683.6,49.4,1572872.62,4089,Yes,No,Operational
RE-00619,Sweden,2026,Onshore Wind,392.25,40.29,1384408.72,2203.9,864.48,9.09,933007.96,174,Yes,No,Operational
RE-00620,Australia,2021,Offshore Wind,491.16,48.32,2078997.77,6046.61,2969.85,21.14,562091.63,1863,Yes,No,Operational
RE-00621,Australia,2023,Biomass,223.52,60.92,1192835.04,3830.69,856.24,47.71,578194.06,678,Yes,Yes,Planned
RE-00622,France,2014,Geothermal,67.64,75.49,447298.18,3501.25,236.82,54.98,179521.23,33,Yes,Yes,Operational
RE-00623,United States,2026,Offshore Wind,1057.25,36.17,3349888.17,4460.14,4715.48,10.92,1043397.47,2657,Yes,No,Operational
RE-00624,Australia,2012,Hydroelectric,777.47,39.06,2660234.89,4506.51,3503.68,5.1,1409271.91,2330,Yes,No,Operational
RE-00625,Sweden,2024,Solar PV,118.74,16.56,172250.89,1042.89,123.83,54.16,55515.2,421,Yes,No,Operational
RE-00626,Australia,2018,Solar CSP,657.83,35.19,2027855.7,4225.8,2779.86,30.05,1132129.15,2390,Yes,No,Construction
RE-00627,Germany,2020,Onshore Wind,650.25,39.37,2242590.0,1676.64,1090.24,16.85,1647084.22,2507,Yes,No,Operational
RE-00628,Spain,2015,Biomass,386.7,55.12,1867185.59,4410.19,1705.42,108.43,946381.73,508,Yes,No,Planned
RE-00629,Japan,2026,Biogas,524.27,58.55,2688970.34,2241.72,1175.27,31.07,1202031.85,242,Yes,Yes,Construction
RE-00630,Mexico,2011,Solar PV,1299.13,17.54,1996118.44,797.73,1036.35,20.4,1212846.56,1719,Yes,Yes,Retired
RE-00631,Chile,2012,Geothermal,618.48,91.29,4945987.03,3130.57,1936.19,25.68,3235910.82,855,Yes,Yes,Planned
RE-00632,Norway,2026,Solar PV,874.94,17.23,1320588.94,1329.95,1163.63,47.09,370071.0,3124,Yes,No,Operational
RE-00633,India,2012,Offshore Wind,1053.97,53.26,4917377.14,4228.32,4456.52,8.4,3241176.1,1203,Yes,Yes,Operational
RE-00634,United States,2015,Onshore Wind,1375.04,32.16,3873784.69,1958.86,2693.51,19.86,2265100.29,3149,Yes,No,Operational
RE-00635,Australia,2026,Biomass,1182.28,69.0,7146173.23,2697.6,3189.32,110.1,2271717.82,4088,Yes,No,Operational
RE-00636,Brazil,2011,Onshore Wind,1267.31,33.45,3713497.11,1516.88,1922.36,13.63,1736220.03,3623,Yes,No,Planned
RE-00637,United Kingdom,2010,Geothermal,686.55,86.51,5202865.39,5573.3,3826.35,38.75,3445556.69,825,No,No,Operational
RE-00638,Spain,2017,Onshore Wind,677.15,26.35,1563038.26,2260.09,1530.42,17.64,747328.56,952,Yes,Yes,Construction
RE-00639,France,2019,Hydroelectric,351.92,51.81,1597208.63,4933.54,1736.21,7.79,765450.27,766,Yes,No,Operational
RE-00640,Brazil,2012,Solar CSP,1284.67,26.85,3021620.92,4391.0,5640.99,33.8,2023233.37,3935,Yes,No,Operational
RE-00641,Argentina,2016,Biomass,569.17,68.81,3430817.88,2149.13,1223.22,71.04,1525761.75,298,Yes,No,Planned
RE-00642,Italy,2019,Onshore Wind,1281.27,43.31,4861082.0,1227.77,1573.1,19.7,1251114.77,3265,Yes,Yes,Operational
RE-00643,China,2016,Solar CSP,91.86,20.19,162467.64,2784.59,255.79,17.95,90241.82,210,Yes,Yes,Operational
RE-00644,China,2010,Offshore Wind,1365.06,45.08,5390632.86,3101.49,4233.72,21.58,3733472.63,2578,Yes,Yes,Operational
RE-00645,Argentina,2025,Hydroelectric,1017.15,41.1,3662106.17,3857.24,3923.39,29.79,1786796.64,3408,Yes,No,Operational
RE-00646,South Africa,2025,Offshore Wind,775.07,43.86,2977924.35,4261.25,3302.77,17.31,1272931.69,2327,Yes,No,Operational
RE-00647,United Kingdom,2011,Onshore Wind,983.38,36.61,3153735.06,1688.93,1660.86,16.35,1984102.69,3389,Yes,No,Operational
RE-00648,Norway,2012,Onshore Wind,833.73,42.77,3123696.17,1347.05,1123.08,14.22,1027855.02,1555,Yes,No,Operational
RE-00649,Norway,2025,Solar PV,1159.47,22.42,2277189.8,1555.05,1803.03,36.97,1466593.27,1164,Yes,Yes,Operational
RE-00650,Brazil,2016,Onshore Wind,951.64,29.37,2448390.81,1260.56,1199.6,19.6,1417912.46,3588,Yes,Yes,Operational
RE-00651,Mexico,2019,Onshore Wind,23.45,44.81,92049.6,1905.96,44.69,16.68,45745.02,61,No,No,Operational
RE-00652,Canada,2014,Onshore Wind,954.62,47.62,3982208.79,2264.53,2161.77,16.13,2967936.09,2865,Yes,No,Operational
RE-00653,Spain,2013,Hydroelectric,626.89,37.06,2035170.8,4851.2,3041.17,34.86,886251.68,1851,Yes,Yes,Operational
RE-00654,United Kingdom,2013,Offshore Wind,323.32,37.58,1064372.03,3604.49,1165.4,23.4,311446.79,507,Yes,No,Operational
RE-00655,Mexico,2010,Geothermal,973.21,84.09,7168941.25,4787.67,4659.41,37.69,3361887.84,1616,Yes,Yes,Operational
RE-00656,Sweden,2022,Solar CSP,163.97,21.38,307097.45,4456.54,730.74,26.93,199893.57,618,No,No,Operational
RE-00657,Mexico,2020,Biomass,942.66,75.54,6237867.79,2668.8,2515.77,40.42,2214458.16,901,No,Yes,Operational
RE-00658,Australia,2018,Solar PV,540.72,22.43,1062443.42,1326.21,717.11,32.69,519349.96,1806,Yes,No,Retired
RE-00659,Australia,2016,Geothermal,1120.89,85.07,8353020.24,4733.1,5305.28,44.59,5219515.49,4022,Yes,Yes,Operational
RE-00660,China,2020,Onshore Wind,1186.71,34.66,3603107.89,1761.34,2090.2,11.34,1205305.07,1587,Yes,Yes,Retired
RE-00661,South Korea,2014,Geothermal,1084.88,84.35,8016243.41,4848.11,5259.62,40.76,4836795.19,3970,Yes,Yes,Construction
RE-00662,Spain,2025,Hydroelectric,823.28,50.88,3669431.41,3024.41,2489.94,27.99,2244838.67,2446,Yes,No,Operational
RE-00663,Mexico,2026,Geothermal,179.67,85.8,1350414.09,4924.32,884.75,34.09,532203.86,427,Yes,No,Operational
RE-00664,Poland,2023,Onshore Wind,594.59,27.21,1417262.35,1834.3,1090.66,13.99,477048.44,1517,Yes,No,Operational
RE-00665,United States,2014,Geothermal,1426.88,84.03,10503303.63,2303.13,3286.29,47.83,3659130.74,4608,No,No,Operational
RE-00666,China,2016,Geothermal,475.97,85.73,3574509.95,4471.44,2128.27,17.18,902888.6,289,Yes,Yes,Planned
RE-00667,Germany,2018,Onshore Wind,1195.54,44.28,4637413.58,2055.43,2457.35,12.09,3162390.04,3671,Yes,No,Operational
RE-00668,South Korea,2010,Geothermal,682.24,90.29,5396111.78,2404.62,1640.53,15.05,2774390.61,453,No,Yes,Construction
RE-00669,Italy,2014,Geothermal,1451.36,79.54,10112646.88,2303.68,3343.47,16.08,5326196.47,5736,Yes,No,Operational
RE-00670,Italy,2013,Biogas,899.95,58.79,4634746.1,3069.07,2762.01,83.48,1160900.39,1101,Yes,Yes,Operational
RE-00671,France,2020,Hydroelectric,154.94,55.85,758037.75,4638.47,718.68,32.72,439728.53,172,Yes,No,Planned
RE-00672,Germany,2012,Solar PV,489.36,22.16,949953.46,962.52,471.02,59.19,342563.38,846,Yes,Yes,Operational
RE-00673,Mexico,2024,Onshore Wind,211.4,38.43,711671.34,1628.63,344.29,9.22,182307.48,292,Yes,No,Construction
RE-00674,Australia,2018,Solar PV,641.1,25.32,1421980.32,1298.81,832.67,28.68,571339.25,1479,Yes,No,Operational
RE-00675,Australia,2026,Offshore Wind,174.25,56.99,869912.46,5793.47,1009.51,22.26,563232.47,200,Yes,No,Operational
RE-00676,Brazil,2011,Geothermal,492.86,82.0,3540311.95,4380.37,2158.91,48.48,2246388.52,1396,Yes,No,Operational
RE-00677,Germany,2013,Solar PV,16.36,19.43,27845.83,930.5,15.22,42.88,7828.88,22,Yes,No,Operational
RE-00678,Mexico,2017,Solar PV,1436.92,23.35,2939162.38,1311.2,1884.09,41.25,1920056.68,5211,Yes,No,Operational
RE-00679,South Korea,2021,Onshore Wind,599.33,25.16,1320932.91,2342.19,1403.74,18.29,522321.01,2392,Yes,No,Operational
RE-00680,Spain,2026,Onshore Wind,998.72,28.0,2449660.42,1649.06,1646.95,11.02,1441348.72,888,Yes,No,Operational
RE-00681,United Kingdom,2017,Hydroelectric,1069.61,56.79,5321100.11,2103.62,2250.05,30.41,3256439.57,1734,Yes,No,Operational
